problem,mu,tau,feasible,no_aliasing,min_abs_tau_lambda,max_abs_tau_lambda,C_phys,C_bin,rotation_valid,max_grid_distance,operator_absolute_filter_error,operator_relative_filter_error,rhs_relative_filter_error,cost_proxy,target_met,selected,rejection_reason,parameter_selection_method
harmonic_oscillator,1024,1237.37581587695,True,True,0.6362003155056881,206.4268653394204,,,True,0.49824319919906657,1173.481183633383,0.6033487075536869,0.15528776884889586,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1270.9442443619484,True,True,0.6534596190407671,212.02696304426988,,,True,0.49688258548139874,1113.779415837825,0.572652872852196,0.1414280203653989,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1305.4233415189008,True,True,0.6711871454786894,217.77898426087881,,,True,0.49895393906319896,1051.1104873828485,0.5404314640094809,0.1266986723260792,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1340.8378126279617,True,True,0.6893955971099214,223.68705048044998,,,True,0.4964695829929724,985.5932867095486,0.5067456078576358,0.11200932215408968,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1377.2130331920425,True,True,0.7080980208218768,229.75539500498846,,,True,0.4995072824877749,917.4003784883935,0.47168402901563933,0.09792965735085196,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1414.5750671191,True,True,0.7273078174473928,235.98836598058614,,,True,0.4989487246179465,846.7643865257467,0.4353663316790025,0.08339432085373073,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1452.950685397686,True,True,0.7470387513668174,242.39042951299515,,,True,0.49925628190593274,773.9842015328366,0.39794619136194276,0.07009868187904357,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1492.3673852791485,True,True,0.7673049603705929,248.966172867724,,,True,0.498080732610207,699.4307603196021,0.35961432628643264,0.058394405136772784,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1532.8534099802077,True,True,0.7881209657893916,255.72030775694594,,,True,0.4998720844191702,623.5520857833615,0.3206010887067915,0.04734065197650784,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1574.4377689200494,True,True,0.8095016828990752,262.6576737155792,,,True,0.4997745642110658,546.8772162605483,0.28117848519712163,0.0376500418533861,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1617.1502585064218,True,True,0.8314624316079264,269.7832415689551,,,True,0.4986593853356709,470.0185905128244,0.24166140289874083,0.03138369625294837,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1661.021483485629,True,True,0.854018947433809,277.10211699455886,,,True,0.49941486390503087,393.6723940769732,0.20240778759697065,0.0281654113976711,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1706.0828788717322,True,True,0.8771873927791286,284.6195441803982,,,True,0.4999428753685038,318.61631822780373,0.16381749148550295,0.0262077150713917,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1752.3667324706469,True,True,0.9009843685116629,292.3409095826154,,,True,0.4863540228884631,245.70414016739278,0.12632948655519383,0.02698658311556088,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1799.906208015303,True,True,0.9254269258595696,300.27174578504145,,,True,0.49866672432563064,175.85650947258728,0.09041712741968999,0.029017964285679286,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1848.7353689284294,True,True,0.9505325786290902,308.41773546345394,,,True,0.49678651367668714,128.19412616091472,0.07882115082111585,0.030800557246958297,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1898.8892027299867,True,True,0.9763193157537017,316.78471545737943,,,True,0.4991760491651007,131.58733251483773,0.08090749001464492,0.03136132800822296,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1950.4036461067565,True,True,1.0028056141837172,325.37868095236144,,,True,0.4988355676536571,126.31074093903703,0.07766313683815418,0.029847729197090788,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2003.3156106620147,True,True,1.0300104521255544,334.20578977568323,,,True,0.4988984040772664,112.57904018470208,0.06922009433221876,0.027136554324685765,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2057.663009363782,True,True,1.0579533226401792,343.2723668086331,,,True,0.4977743590458772,92.65879413178232,0.05590208405879182,0.023081602623981633,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2113.484783710569,True,True,1.086654247610451,352.5849085184652,,,True,0.49529284909192484,123.41663558821278,0.06345501624680172,0.019215378322956774,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2170.8209316341004,True,True,1.1161337920873886,362.1500876133094,,,True,0.49974929459986583,144.60734532990614,0.0743502802809548,0.01520702481204856,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2229.712536158995,True,True,1.1464130790256264,371.9747578233596,,,True,0.48335450226608145,155.71672081616884,0.08006219746791099,0.013651630229244866,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2290.2017948399657,True,True,1.1775138044186348,382.0659588117744,,,True,0.4905243686728795,156.47514016381842,0.08045214094512221,0.016494819667126962,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2352.3320499975835,True,True,1.2094582528445252,392.4309212187986,,,True,0.4946275311586703,146.9092362182912,0.07553380406625876,0.02373232084206242,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2416.147819774327,True,True,1.2422693134336067,403.0770718427294,,,True,0.4995675607196972,133.27094944009673,0.08194267491402374,0.03166708304530848,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2481.694830033129,True,True,1.2759704962691143,414.0120389614345,,,True,0.49626522387887917,168.08854279810066,0.10335054171327684,0.03905450778723531,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2549.020047121291,True,True,1.3105859492328702,425.24365779823523,,,True,0.4930315559212204,196.02597132343703,0.12052808590578978,0.045161150126721485,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2618.171711523244,True,True,1.3461404753079464,436.7799761360734,,,True,0.4937380006870171,214.97607968753664,0.13217970672629653,0.049332659023086624,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2689.1993724262707,True,True,1.3826595503507306,448.62926008398364,,,True,0.49403774370715325,223.25804073739164,0.13727193458848275,0.05123962617965303,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,2762.153923223933,True,True,1.4201693413451135,460.80000000000007,,,True,0.49382999268385674,219.807585700044,0.13515039559878783,0.050612526928904944,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,972.4734377830458,False,True,0.5,162.23417397658835,,,True,0.5,1576.5145568495175,0.8105694693540978,0.26663300018558334,8415602000,False,False,zero_bin_separation,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1016.1486377530852,True,True,0.5224557290066483,169.5203472694597,,,True,0.4923511396648905,1520.0509821912444,0.7815385609176713,0.2493402644779949,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1061.7853546328015,True,True,0.5459199775437367,177.13375322825155,,,True,0.4975644164981077,1456.4590304867802,0.7488425770307308,0.23068286082038514,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1109.471683006527,True,True,0.5704380396938126,185.0890883491,,,True,0.4983134074234954,1385.2646615034196,0.7122377885515396,0.21069133327185885,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1159.2996739148161,True,True,0.5960572437627085,193.40170916920994,,,True,0.49829594117018416,1306.0907381126938,0.6715302893466157,0.18925358562797212,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1211.3655125446699,True,True,0.6228270436394787,202.0876619102627,,,True,0.49413126720952505,1218.7042873752555,0.6266002957127259,0.16703810252116844,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1265.7697039000755,True,True,0.6507991142594388,211.1637134531508,,,True,0.4984031912598077,1123.0727833725164,0.5774310843557809,0.14366773040628408,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1322.617266811288,True,True,0.680027451354593,220.64738370383398,,,True,0.4986471128965775,1019.428923040305,0.524142297071015,0.11997980431855967,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1382.0179366573443,True,True,0.710568475683994,230.5569794127925,,,True,0.4986273453122436,908.3422379960166,0.46702676016877664,0.09604916307335976,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1444.0863771931536,True,True,0.7424811419452478,240.91162951336264,,,True,0.4926374923804673,790.7943115908336,0.4065891575371008,0.07350640886489088,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1508.9424018900374,True,True,0.7758270525773864,251.73132204716688,,,True,0.4988089455077329,668.2522974462252,0.3435838304075659,0.05309339273311699,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1576.7112052170064,True,True,0.8106705766747961,263.03694274792014,,,True,0.4999875650248953,542.7328590903139,0.27904765210224436,0.037201278645822955,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1647.5236043092045,True,True,0.8470789742417413,274.8503153580893,,,True,0.4998788085723902,416.8456550545184,0.21432238602053966,0.028426921402194622,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1721.5162914900525,True,True,0.8851225260273456,287.19424375623544,,,True,0.4966798535620214,293.802307657671,0.15105929696519738,0.026790318384998905,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1798.8320981345141,True,True,0.9248746691916458,300.0925559763541,,,True,0.4961203684724751,177.37385251701517,0.09119727368665997,0.028989437739121014,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1879.6202703828546,True,True,0.9664121390646091,313.57015020418936,,,True,0.4994000264740599,131.31910283873867,0.08074256692192883,0.03200928214608648,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,1964.0367572370956,True,True,1.0098151172717496,327.65304283930794,,,True,0.4988014749100671,123.53566994220046,0.07595686295391713,0.028434474406473818,8415602000,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,2000,2052.2445115963205,True,True,1.0551673865122917,342.36841871571437,,,True,0.4976850733754645,93.38285005801572,0.05741716823506593,0.02352077487341099,8415602000,False,False,,exact_spectral_benchmark_oracle
