problem,matrix_role,eigenvalue_index,eigenvalue,tau,tau_lambda,nearest_integer,grid_distance,aliased
heat_2d,physical_hermitian_400x400,194,-4.000000000000001,44.97941097041009,-179.9176438816404,-180,0.08235611835959844,False
heat_2d,physical_hermitian_400x400,195,-4.000000000000001,44.97941097041009,-179.9176438816404,-180,0.08235611835959844,False
heat_2d,physical_hermitian_400x400,196,-4.000000000000001,44.97941097041009,-179.9176438816404,-180,0.08235611835959844,False
heat_2d,physical_hermitian_400x400,197,-4.0,44.97941097041009,-179.91764388164037,-180,0.08235611835962686,False
heat_2d,physical_hermitian_400x400,198,-3.9999999999999996,44.97941097041009,-179.91764388164034,-180,0.08235611835965528,False
heat_2d,physical_hermitian_400x400,199,-3.999999999999999,44.97941097041009,-179.91764388164034,-180,0.08235611835965528,False
heat_2d,physical_hermitian_400x400,200,-3.9999999999999987,44.97941097041009,-179.91764388164032,-180,0.0823561183596837,False
heat_2d,physical_hermitian_400x400,201,-3.9999999999999982,44.97941097041009,-179.9176438816403,-180,0.08235611835971213,False
heat_2d,physical_hermitian_400x400,202,-3.999999999999998,44.97941097041009,-179.91764388164026,-180,0.08235611835974055,False
heat_2d,physical_hermitian_400x400,203,-3.999999999999998,44.97941097041009,-179.91764388164026,-180,0.08235611835974055,False
heat_2d,physical_hermitian_400x400,204,-3.9999999999999973,44.97941097041009,-179.91764388164026,-180,0.08235611835974055,False
heat_2d,physical_hermitian_400x400,205,-3.9999999999999973,44.97941097041009,-179.91764388164026,-180,0.08235611835974055,False
heat_2d,physical_hermitian_400x400,206,-3.999999999999997,44.97941097041009,-179.91764388164023,-180,0.08235611835976897,False
heat_2d,physical_hermitian_400x400,207,-3.999999999999996,44.97941097041009,-179.9176438816402,-180,0.08235611835979739,False
heat_2d,physical_hermitian_400x400,208,-3.9999999999999933,44.97941097041009,-179.91764388164006,-180,0.0823561183599395,False
heat_2d,physical_hermitian_400x400,209,-3.9999999999999933,44.97941097041009,-179.91764388164006,-180,0.0823561183599395,False
heat_2d,physical_hermitian_400x400,210,-3.933483959122024,44.97941097041009,-176.92579154286528,-177,0.07420845713471635,False
heat_2d,physical_hermitian_400x400,211,-3.9334839591220234,44.97941097041009,-176.92579154286526,-177,0.07420845713474478,False
heat_2d,physical_hermitian_400x400,212,-3.890792124232558,44.97941097041009,-175.0055379562911,-175,0.005537956291107093,False
heat_2d,physical_hermitian_400x400,213,-3.890792124232557,44.97941097041009,-175.00553795629105,-175,0.00553795629105025,False
heat_2d,physical_hermitian_400x400,214,-3.8505398128271504,44.97941097041009,-173.19501269907835,-173,0.1950126990783474,False
heat_2d,physical_hermitian_400x400,215,-3.850539812827148,44.97941097041009,-173.19501269907826,-173,0.19501269907826213,False
heat_2d,physical_hermitian_400x400,216,-3.8242760833545804,44.97941097041009,-172.01368561751596,-172,0.013685617515960757,False
heat_2d,physical_hermitian_400x400,217,-3.82427608335458,44.97941097041009,-172.01368561751593,-172,0.013685617515932336,False
heat_2d,physical_hermitian_400x400,218,-3.813626195027663,44.97941097041009,-171.53465991367057,-172,0.4653400863294337,False
heat_2d,physical_hermitian_400x400,219,-3.8136261950276626,44.97941097041009,-171.53465991367054,-172,0.4653400863294621,False
heat_2d,physical_hermitian_400x400,220,-3.780875860057814,44.97941097041009,-170.06156913764312,-170,0.061569137643118665,False
heat_2d,physical_hermitian_400x400,221,-3.780875860057812,44.97941097041009,-170.06156913764306,-170,0.06156913764306182,False
heat_2d,physical_hermitian_400x400,222,-3.7530203962825337,44.97941097041009,-168.80864678472344,-169,0.19135321527656401,False
heat_2d,physical_hermitian_400x400,223,-3.753020396282533,44.97941097041009,-168.80864678472338,-169,0.19135321527662086,False
heat_2d,physical_hermitian_400x400,224,-3.741331937059709,44.97941097041009,-168.28290677372914,-168,0.2829067737291382,False
heat_2d,physical_hermitian_400x400,225,-3.741331937059707,44.97941097041009,-168.28290677372902,-168,0.2829067737290245,False
heat_2d,physical_hermitian_400x400,226,-3.7306820487327896,44.97941097041009,-167.80388106988363,-168,0.19611893011636994,False
heat_2d,physical_hermitian_400x400,227,-3.7306820487327865,44.97941097041009,-167.8038810698835,-168,0.19611893011651205,False
heat_2d,physical_hermitian_400x400,228,-3.7143598191798386,44.97941097041009,-167.0697167988681,-167,0.06971679886808602,False
heat_2d,physical_hermitian_400x400,229,-3.7143598191798377,44.97941097041009,-167.06971679886803,-167,0.06971679886802917,False
heat_2d,physical_hermitian_400x400,230,-3.7044183192602205,44.97941097041009,-166.62255398832127,-167,0.37744601167872815,False
heat_2d,physical_hermitian_400x400,231,-3.7044183192602196,44.97941097041009,-166.62255398832124,-167,0.3774460116787566,False
heat_2d,physical_hermitian_400x400,232,-3.701079625654304,44.97941097041009,-166.4723815165165,-166,0.4723815165164922,False
heat_2d,physical_hermitian_400x400,233,-3.6748158961817325,44.97941097041009,-165.29105443495402,-165,0.2910544349540203,False
heat_2d,physical_hermitian_400x400,234,-3.674815896181732,44.97941097041009,-165.291054434954,-165,0.29105443495399186,False
heat_2d,physical_hermitian_400x400,235,-3.6641660078548144,44.97941097041009,-164.8120287311086,-165,0.1879712688914026,False
heat_2d,physical_hermitian_400x400,236,-3.6641660078548135,44.97941097041009,-164.81202873110854,-165,0.18797126889145943,False
heat_2d,physical_hermitian_400x400,237,-3.5945020550854774,44.97941097041009,-161.67858516967334,-162,0.32141483032665974,False
heat_2d,physical_hermitian_400x400,238,-3.5945020550854765,44.97941097041009,-161.6785851696733,-162,0.32141483032668816,False
heat_2d,physical_hermitian_400x400,239,-3.554958132087372,44.97941097041009,-159.89992280575933,-160,0.10007719424066863,False
heat_2d,physical_hermitian_400x400,240,-3.55495813208737,44.97941097041009,-159.89992280575922,-160,0.10007719424078232,False
heat_2d,physical_hermitian_400x400,241,-3.533896256340349,44.97941097041009,-158.95257204072624,-159,0.047427959273761644,False
heat_2d,physical_hermitian_400x400,242,-3.533896256340345,44.97941097041009,-158.95257204072607,-159,0.047427959273932174,False
heat_2d,physical_hermitian_400x400,243,-3.4884420912093956,44.97941097041009,-156.9080704669842,-157,0.09192953301578655,False
heat_2d,physical_hermitian_400x400,244,-3.4884420912093947,44.97941097041009,-156.90807046698419,-157,0.09192953301581497,False
heat_2d,physical_hermitian_400x400,245,-3.4837024450153242,44.97941097041009,-156.69488397296675,-157,0.30511602703325025,False
heat_2d,physical_hermitian_400x400,246,-3.483702445015322,44.97941097041009,-156.69488397296664,-157,0.30511602703336393,False
heat_2d,physical_hermitian_400x400,247,-3.4450418679126305,44.97941097041009,-154.95595398711146,-155,0.04404601288854337,False
heat_2d,physical_hermitian_400x400,248,-3.445041867912629,44.97941097041009,-154.9559539871114,-155,0.04404601288860022,False
heat_2d,physical_hermitian_400x400,249,-3.4450418679126287,44.97941097041009,-154.95595398711137,-155,0.04404601288862864,False
heat_2d,physical_hermitian_400x400,250,-3.445041867912626,44.97941097041009,-154.95595398711126,-155,0.044046012888742325,False
heat_2d,physical_hermitian_400x400,251,-3.418778138440058,44.97941097041009,-153.77462690554896,-154,0.2253730944510437,False
heat_2d,physical_hermitian_400x400,252,-3.418778138440056,44.97941097041009,-153.77462690554884,-154,0.22537309445115739,False
heat_2d,physical_hermitian_400x400,253,-3.4054979449145226,44.97941097041009,-153.1772916231973,-153,0.17729162319730563,False
heat_2d,physical_hermitian_400x400,254,-3.4054979449145217,44.97941097041009,-153.17729162319728,-153,0.1772916231972772,False
heat_2d,physical_hermitian_400x400,255,-3.34752245136801,44.97941097041009,-150.56958807275637,-151,0.4304119272436253,False
heat_2d,physical_hermitian_400x400,256,-3.3475224513680093,44.97941097041009,-150.56958807275632,-151,0.43041192724368216,False
heat_2d,physical_hermitian_400x400,257,-3.335833992145191,44.97941097041009,-150.0438480617623,-150,0.04384806176230427,False
heat_2d,physical_hermitian_400x400,258,-3.3358339921451887,44.97941097041009,-150.0438480617622,-150,0.04384806176219058,False
heat_2d,physical_hermitian_400x400,259,-3.269317951267212,44.97941097041009,-147.0519957229871,-147,0.05199572298710109,False
heat_2d,physical_hermitian_400x400,260,-3.269317951267211,44.97941097041009,-147.05199572298704,-147,0.051995722987044246,False
heat_2d,physical_hermitian_400x400,261,-3.264578305073139,44.97941097041009,-146.83880922896952,-147,0.1611907710304763,False
heat_2d,physical_hermitian_400x400,262,-3.2645783050731345,44.97941097041009,-146.83880922896932,-147,0.16119077103067525,False
heat_2d,physical_hermitian_400x400,263,-3.198062264195163,44.97941097041009,-143.84695689019446,-144,0.15304310980553737,False
heat_2d,physical_hermitian_400x400,264,-3.1980622641951615,44.97941097041009,-143.84695689019438,-144,0.15304310980562263,False
heat_2d,physical_hermitian_400x400,265,-3.198062264195161,44.97941097041009,-143.84695689019438,-144,0.15304310980562263,False
heat_2d,physical_hermitian_400x400,266,-3.19806226419516,44.97941097041009,-143.84695689019432,-144,0.15304310980567948,False
heat_2d,physical_hermitian_400x400,267,-3.1494601871728523,44.97941097041009,-141.6608640937924,-142,0.3391359062075878,False
heat_2d,physical_hermitian_400x400,268,-3.1494601871728456,44.97941097041009,-141.66086409379213,-142,0.33913590620787204,False
heat_2d,physical_hermitian_400x400,269,-3.119857764094362,44.97941097041009,-140.32936454042505,-140,0.3293645404250469,False
heat_2d,physical_hermitian_400x400,270,-3.1198577640943568,44.97941097041009,-140.32936454042482,-140,0.32936454042481955,False
heat_2d,physical_hermitian_400x400,271,-3.1099162641747435,44.97941097041009,-139.88220172987823,-140,0.11779827012176725,False
heat_2d,physical_hermitian_400x400,272,-3.0888543884277215,44.97941097041009,-138.93485096484523,-139,0.06514903515477499,False
heat_2d,physical_hermitian_400x400,273,-3.088854388427717,44.97941097041009,-138.93485096484503,-139,0.06514903515497394,False
heat_2d,physical_hermitian_400x400,274,-3.078204500100801,44.97941097041009,-138.4558252609997,-138,0.45582526099968845,False
heat_2d,physical_hermitian_400x400,275,-3.078204500100799,44.97941097041009,-138.4558252609996,-138,0.4558252609996032,False
heat_2d,physical_hermitian_400x400,276,-3.022338347549744,44.97941097041009,-135.94299862607008,-136,0.05700137392992133,False
heat_2d,physical_hermitian_400x400,277,-3.0223383475497405,44.97941097041009,-135.9429986260699,-136,0.05700137393009186,False
heat_2d,physical_hermitian_400x400,278,-2.9789381242529784,44.97941097041009,-133.9908821461973,-134,0.009117853802706577,False
heat_2d,physical_hermitian_400x400,279,-2.9789381242529758,44.97941097041009,-133.99088214619715,-134,0.009117853802848686,False
heat_2d,physical_hermitian_400x400,280,-2.9287443129279542,44.97941097041009,-131.7331940784378,-132,0.2668059215621952,False
heat_2d,physical_hermitian_400x400,281,-2.9287443129279502,44.97941097041009,-131.7331940784376,-132,0.26680592156239413,False
heat_2d,physical_hermitian_400x400,282,-2.9024805834553784,44.97941097041009,-130.55186699687513,-131,0.44813300312486604,False
heat_2d,physical_hermitian_400x400,283,-2.902480583455377,44.97941097041009,-130.55186699687508,-131,0.4481330031249229,False
heat_2d,physical_hermitian_400x400,284,-2.850539812827156,44.97941097041009,-128.21560172866853,-128,0.21560172866853122,False
heat_2d,physical_hermitian_400x400,285,-2.8505398128271473,44.97941097041009,-128.21560172866813,-128,0.21560172866813332,False
